Id,Code,Name,Description,Category
170,DA1-6,User interface and Usability,User interface and usability of a GIS system,NONE
171,DA1-9,Geodesign,Geodesign is a design and planning method along with geospatial modelling and technology - and simulations informed by geographic contexts to facilitate informed decisions and the creation of design proposals. A geo-design process is a problem-based - iterative process bounded by specific (geographic) constraints characterised by a collaborative effort.,NONE
172,DA1,System design,This concept encloses a set of activities and workflows to ensure that the implementation of a GIS system in an organization or project is correctly planned and designed according to the particularites - user requirements and current conditions of the project ahead. In general system design is the process to promote successful GIS in an enterprise environment. As a GIS system has a direct influence on the information technology department  (IT) - the system design tells the organizacion how the current infrastructure can or must support the planned GIS.  This process builds a set of specific recommendations on hardware and network needs based on the number of projects that depend on the GIS solucion - as well as the projected business needs and user requirements. \rGIS architects through the system design process need to take into account and identify several conditions: a) infrastructure requirements - b) the network communication capacity - c) hardware and software procurement requirements and - d) software development and data acquisition needs. \rHaving a well-defined and successful GIS deployment is not only a matter of what data or software the organization should acquire. The process of system design aligns identified business requirements (user needs/requirements) derived from business strategies or project aims - goals - and stakeholders (business processes) with identified business information systems infrastructure technology (network and platform) recommendations. \rThe process starts with identifying business needs - including the identification of users locations - required information - data - resources or products. The business needs are generally considered as project workflows that help the GIS architects to identify the expected data traffic and computing demand associated with each transaction - being a transaction the work unit used to translate business requirements into associated server and network loads.\rWithout carrying out a proper system design - a GIS system can lead to  an implementation and deployment failure - deriving in unfulfilled expectations and high costs in terms of human resources and financial matters.,NONE
173,DA2-1,Project management,Project management includes the planning - organization - coordination - execution - monitoring - controlling  and closing of the activities and resources - human and economic - for the timely achievement of clearly defined objectives forming a project. For the success of a project - a project manager will assure an efficient use of resources and a proper execution of tasks to deliver value to users and “clients” of products and services.  The Project Management Body of Knowledge (PMI) defines “project management” as “the application of knowledge - skills - tools - and techniques to project activities to meet requirements” - being  EO*GI projects are another type of information technology projects. PMI reflects different areas to take care of by project management. These areas are:  Integration - Scope - Time - Cost - Quality - Human Resource - Communications - Risks - Procurement and Stakeholder. There are a variety of tools and techniques used in the areas identified by PMI - just to name a few Gantt chart - Program evaluation and review (PERT) analysis - AGILE project management - etc. that will help in project management.,NONE
174,DA2-2,Feasibility analysis,This concept embraces the factors that could affect a GI system / project and could constitute obstacles to success or even decide a project is not doable. In order to ensure the success of a GI system or a GIS project there are several criteria to take into account from the very beginning of the conception of the GI system or project. A feasibility study may encompass different perspectives (economic - legal - technical - operational or scheduling ) to inform whether or not a project is worth the investment. An organisation should list the foreseen costs from these  five perspectives listed above and the benefits (tangible or intangible) of implementing a system/project. Existing resources already available in-house and internal strategic plan in place could be critical to decide to undertake a project or not. The table below presents a non-exhaustive list of criteria  and under which perspectives they should be examined.\rFeasibility analysis should include a pilot study to evaluate and improve the system / project proposed.,NONE
175,DA2-8,Proprietaty and open source software,This concept discusses the technical - organizational and monetary advantages and disadvantages of proprietary versus open source software. GIST industry and research are slowly but consistently moving toward the openness of software. Open software entails some clear advantages such as continuous development of new applications - building community of developers and users - starting a project even if limited funding is available -  increasing the chances of a project’s sustainability - to name a few. On the other side - proprietary initiatives in GIST are keeping their roots to the ground by developing cutting-edge tools to handle challenging and critical environments in large private sectors and public administrations. Advantages of proprietary software include  more stable software - a well developed documentation and personalised customer support service. Both open and proprietary geospatial software solutions can co-exist by applying the appropriate IPR licences for each type of solution. The future trend is to balance how proprietary and open source geospatial software complement each other and find synergies in increasingly complex and large projects.,NONE
176,DA2,Resource planning,To design - build - and maintain a GIS - sufficient resources (e.g. - labor - capital - and time) must be secured. Resource planning consists of the allocation and use of  in-house resources  (people - equipment - tools - rooms - etc.) to achieve the maximal efficiency of those resources. These resources are required for a variety of system elements - including design - software purchase - labor - hardware - and facilities. The crucial task is to determine whether the project is worth the required resources.,NONE
177,DA3-1,Major geospatial software architectures,The ecosystem of GIS software architectures has evolved substantially in recent years to include a variety of options ranging from desktop GIS - server-based and component-based architectures to Web-based - cloud-based - mobile-based approaches. Aligned with the main trend - geospatial software architectures or infrastructures are also moving from desktop architectures  to more cloud based or server based options to meet  ever-increasing requirements of interoperability - interdisciplinary work and computational power for processing large data sets and derived products. Cloud-based architectures also enable on the fly visualization of computed geospatial products - as complementary visualisation and mapping tools are seamlessly integrated into modern cloud-based based architectures. Usage of a particular architecture is fully dependent on the nature - size - requirements - functionalities - and available resources of a given project or task. Desktop and server based applications are particularly suited for small sized projects and startups while enterprise based applications are meant for larger sized projects. Cloud based infrastructure can be useful for varying sizes of projects in which the computational infrastructure is fully outsourced.,NONE
178,DA3-2,Interoperability,Interoperability of GIS infrastructure or architecture ensures the consistent and uninterrupted usage of data and functionalities across platforms and systems. Components or tools residing on distinct platforms can “talk” to each other without friction.  Interoperability is a central characteristic - especially important in distributed systems and architectures. It can be applied to different levels or layers of a system - i.e. infrastructure level -  data level - business logic level - etc. For example - standard spatial data formats and protocols are especially relevant  for handling GIS data across multiple systems and platforms - regardless of their underlying software architecture. This is particularly important in large-scale - collaborative projects involving various teams using heterogeneous GIS architectures. Most software providers - developers communities and standardisation bodies and committees are striving to make their architectures interoperable in an open manner - so proprietary standards and protocols are a potential hindrance to this initiative.,NONE
179,DA3-3,Architectural Patterns,This concept considers general architectural patterns like SOA - ROA - Web Services - etc.,NONE
180,DA3-4,WebGIS - SDI services - map services,- WebGIS - - technical pecularities of spatial data infrastructures - standardiced GI services for SDI: WMS - WFS - CSW - Transformation Services - SOS - WPS etc. - - other map services and interfaces,NONE
181,DA3-5,Reference Model of Open Distributed Processing,This concept deals with Reference Model of Open Distributed Processing (RM-ODP) - its standards - viewpoints modeling and the RM-ODP framework,NONE
182,DA3-6,Cloud and Grid computing,Cloud computing provides an on-line computing transparent resource to the user - since a user doesn’t notice almost no difference between working on her own computer or the cloud. Owned and managed by infrastructure providers - cloud computing entails advantages (concurrent access by many users - software updates hosted in the cloud - cost-efficiency or outsourced maintenance in the cloud) and disadvantages (loose of control - network Connection Dependency or security breaches ). On the other side - grid computing is a full network of computers and data working together so functioning as a supercomputer. Grid computing presents advantages such as shorter resolution of complex problems - the ease of organizational collaboration or a better use of existing hardware.,NONE
183,DA3-7,Desktop GIS - GIS libraries,Within this concept solutions based on Desktop GIS and GIS libraries will be compared and contrasted,NONE
184,DA3,Architectural design of a GIS system,This concept describes the major geospatial software architectures available currently and choices when designing GI applications and systems - including desktop GIS - server-based - Internet - and component-based custom applications.,NONE
185,DA4-1,Modeling tools,- Compare and contrast the relative merits of various textual and graphical tools for data modeling - including E-R diagrams - UML - and XML - Create conceptual - logical - and physical data models using automated software tools - Create E-R and UML diagrams of database designs,NONE
186,DA4-2,Conceptual models,Within an initial phase of database design - a conceptual data model is created as a technology-independent specification of the data to be stored within a database.,NONE
187,DA4-3,Logical models,A logical data model expresses the meaning context of a conceptual data model - and adds to that detail about data (base) structures - e.g. using topologically-organized records - relational tables - object-oriented classes - or extensible markup language (XML) construct  tags,NONE
188,DA4-4,Physical models,A physical data model documents how data are to be stored and accessed on storage media of computer hardware,NONE
189,DA4,Database design,The effective design of geospatial databases should follow the established methods and principles of database modeling and design developed in computer science. The basic method is a three-step process generally called the conceptual - logical - and physical models transforming the application from very human-oriented to machine-oriented. Several standards and software tools exist to aid the process of database design.,NONE
190,DM,Data Modeling - Storage and Exploitation,This knowledge area deals with representation of formalized spatial and spatio-temporal reality through data models and the translation of these data models into data structures that are capable of being implemented within a computational environment (i.e. - within a GIS or more likely within a spatial database). Data modelling is a crucial issue as it defines the content of a spatial database and usefulness of these content (data) for certain applications. Data Modelling is performed using system neutral languages like UML (or more seldom ER-diagrams). These conceptual models have to be transferred to logical models (i.e. tables of a database). Data is stored in spatial databases which are normally organized in an object relational way. For certain types of data specific databases are used - like triple stores - NoSQL DBs - Array DBs etc. For data modelling quite a number of ISO standards are available for deriving the conceptual model as well as for rules for application schemas - spatial schemas - temporal schemas - Quality principles - encoding - 3D modelling (CityGML) etc. Data models provide the means for formalizing the spatio-temporal conceptualizations. Examples of spatial data model types are discrete (object-based) - continuous (location-based) - dynamic - and probabilistic. Mastery of the objectives presented in this knowledge area require knowledge and skills presented in the bodies of knowledge of allied fields - including computer science (ACM/IEEE-CS Joint Task Force - 2001) and information systems (Gorgone & Gray - 2000; Gorgone & others - 2002).,NONE
191,DM1-1,Overview on database concepts,This topic includes the main basic database concepts: - Database - definition and overview - Database management system - definition and overview - Relational databases - overview - Object-oriented databases - overview - Object-relational databases - NoSQL databases - general overview - NoSQL databases - examples triple stores - array databases - others (overview),NONE
192,DM1-2,The Relational Model,The Relational Model is the most important database model - therefore it is explained in more detail here: - Basic concepts (tables - tuples - etc.) - Relation to relational algebra (RA) - basics of RA - Constraints (key - domain - referential integrity) - Relation to entity relation (ER) model - basics of ER,NONE
193,DM1-3,Relational Databases - Database Managements Systems and Database principles,Relational databases and database management systems are essential for GIS in consequence the important issues have to be treated here: - General aspects - basic architecture of a DB - advantages - features - DBMS concepts and functionalites (transactions - locks - multiuser access etc.) - Database design - techniques - Database administration - Normalization (1NF - 3NF) - Example of a database design,NONE
194,DM1-4,Data Structures and Indices for Databases,Database queries and especially spatial queries require specific data structures to be performed satisfactory Relevant is: - Motivation - examples of typical non-spatial and spatial queries - Trees - B-tree - R-tree - Q-tree - Graphs - overview and relation to databases,NONE
195,DM1-5,Data compression techniques,Big data like imagery but also for example GML data sets need compression to be accessed / transferred in an acceptable time. Therefore some compression techniques have to be taught: - Motivation - examples of data sets which need compression - General introduction - vector - / raster data compression - compression lossless - lossy - Popular compression techniques - LZW (Lempel-Ziv-Welch) encoding - Huffman encoding - Techniques for raster data - runlength encoding - JPEG coding - wavelet etc. - Techniques for the reduction of vector data (Douglas Peuker etc.) - Data formats - overview and relation to compression techniques,NONE
196,DM1-6,SQL and its usage for data handling - spatial extensions to SQL,SQL is the 'standard' to perform spatial and non-spatial queries in databases. That means each student in a GI related course has to be familiar with the main aspects if it: - Motivation - history - overview - Data definition language DDL - Data manipulation language DML - Data control language DCL - Spatial extensions of SQL,NONE
197,DM1-7,UML introduction and class diagrams,UML is the standard for describing the schema related to GI models - but also user requirements - workflows etc. can be described in UML using the UML diagrams: - Motivation - background - purpose - Use case diagrams - Class diagrams - Sequence diagrams - Activity diagrams,NONE
198,DM1-8,XML introduction,XML knowledge is an important bases for understanding GML. Moreover XML tools like XSLT are important to transform XML or GML data sets into other XML based formats like SVG or others. Important issues: - Motivation - purpose - Relation to HTML - XML document structure - XML syntax - elements - attributes and namespaces - xlink - xpath and XSLT - XML DTD - XML schema,NONE
199,DM1-9,Database concepts in GIS and Principles of spatial databases,The long term storage of GI data in general is based on spatial databases. Therefore the following is essential for a GI course: - Relation between GIS and DB / 'Long transactions'- Dual concepts - Characteristics of spatial databases - Spatial data in object relational databases - Spatial extensions of DBs - overview,NONE
200,DM1,Foundations for Data Modelling Storage and Exploitation,This unit includes the basics for data modelling - storage and exploitation. Data modelling is one of the most important activities in conjunction with Geographic Information / GIS as it determines how the data can be used and if the requirements from applications are fulfilled. Data modelling can be done in conjunction with the database - e.g. through ER diagrams or according to the ISO 191xx standards by using UML. The costs of data acquisition can be tremendous - therefore the data represents an enormous value. This value has to be conserved through a safe long term data storage. Therefore databases and especially relational and object relational databases are crucial. For a proper storage and query of geographic information databases are extended with specific data types and data structures. As data sets can be very large suitable compression techniques became important especially in the context of accessing and delivering geographical data - e.g. through services. XML based modeling languages for encoding also play and important role in this context,NONE
201,DM2-1,Overview on relevant standards and standardisation bodies,GI standards - mainly from ISO and OGC are essential nowadays. Moreover also an overview on ICT standards from W3C or OMG are important as well as some understanding of standardization processes. In detail: - Motivation for standards - examples from daily life - Overview on GIS and relevant ICT standardization bodies and selected standards - De jure and De facto standards - obligation - reasons for the usage of standards - Standardization within ISO - Standardization within OGC - relation to ISO - Examples of ISO 191xx standards,NONE
202,DM2-2,The principle of conceptual data modelling according to ISO,Conceptual data modeling is a key skill for GI people. (see relations to other topics) The following therefore is important: - Overview on the relevant standards like conceptual schema language - Rules for application schema - Examples of conceptual schemas,NONE
203,DM2-3,Geometry data types according to spatial schema and the simple feature specification,Geometric modelling is an important subtask of conceptual modelling and requires the following basics: - Overview of ISO 19107 - spatial schema - Overview of ISO 19125 - simple features - Examples of the usage of spatial schema and simple feature elements for feature class definitions - Relation to GML - Relation to DBs,NONE
204,DM2-4,Temporal data types according to temporal schema,Also temporal aspects have to be considered within conceptual modelling. This also requires basics: - Motivation - examples - Temporal variability of features (move - change of structure or geometry) - Overview on ISO 19108 temporal schema - Examples of modeling temporal aspects,NONE
205,DM2-5,Transferring conceptual models to logical models,Conceptual models of course have to be implemented - in general in a GIS (which is often proprietary) - or in a database (which can be standard based)  -therefore here the implementation in a database is treated: - Repetition of conceptual and logical models - Examples of the transferring of a conceptual model to a logical (database) model,NONE
206,DM2-6b,Other standards,Metadata is considered as very important for the usage as well for the search for Geodata Relevant basics are: - Motivation - importance of data quality as part of metadata - Metadata in an spatial data infrastructure with many There are quite a number of relevant standards for GI courses. Some are listed here - others might be considered - depending on the background of the course: - Select other standards and explain them - Important are: - ISO 19141 Schema for moving features - ISO 19142 Web Feature Service or others - 19109 - Rules for application schema - Selection of other standards is depending on the background of the course,NONE
207,DM2-7,Introduction to GML,GML is the most important standard for the transfer of Geodata as it allows to transfer the schema information as well as the data. Important issues: - Motivation - Importance of a Geography Markup Language - History of GML - Overview 19136 - Geography Markup Language - Relation to spatial schema - Supported features in GML (Topology - 3D ...) - Structure of GNL - profiles - application schemas etc. - Transfer of models and of data - Examples,NONE
208,DM2-8,Introduction to CityGML,3D Models - especially 3D city models are becoming more and more important. CityGML is the most important standard within the GI domain to describe City models semantically and geometrically. Relevant issues: - Motivation - Usage of CityGML - Relation to GML - Coherence of semantics and geometry - Principles of modeling - Level of detail concept - CityGML vs KML - Examples,NONE
209,DM2,Standards for Spatial Data Modeling,This unit includes the essentials of relevant standards for spatial data modelling. A number of ISO and OGC standards are available for deriving the conceptual model as well as for rules for application schemas - spatial schema provides data types for geometry models in various forms - Point - line - area - body based - temporal schema allows to consider temporal dimensions - Quality principles can be used to describe the quality of geodata - encoding standards (mainly GML) allow the standard based transfer of data and data models - CityGML allows a standard based 3D modelling - etc.,NONE
210,DM3-1b,The concept of fields,There are two basic concepts related to this topic: Features and Fields - or Geo-fields - as named by Goodchild at al. The concept of fields can be differently represented as explained here: - Repetition of basic concepts of Geographic Information Science - Explanation of the concept of continuous fields and the commonly used ways of representing geo-fields - Relation between fields and coverages - an important discretizations of a Geo-field - Types of Coverages,NONE
211,DM3-2,The raster model,The raster data model holds values in a regularly spaced matrix of cells arranged in rows and columns covering a two dimensional space.  Rasters are commonly used to store continuous data like colors in an image and height values but they are also used for discrete (thematic) values like land use.,NONE
212,DM3-2b,Grid representations,Grids are on the one hand one important type of caverages and on the other hand Grids are used as basic structure in some applications. Important here is: - Definition of the concept of grid in GIS - Grid as an instance of coverages - Grids as a basic structure for certain applications / medium for aggregation of data - Examples of grid-based data such as Digital Terrain Models (DTM) - Grids in census / statistical data and Geo-marketing applications,NONE
213,DM3-3,Grid compression methods,Grid data models can contain millions of discrete values. This leads to very large datasets. Depending on the way values change over the grid - different methods can be used for an optimal (lossy or lossless) data compression. Type of data - computer power needed - application of the data - method of transport and storage all contribute to the choice of compression method.,NONE
214,DM3-3b,TIN and Voronoi tesselations,TINs and Voronoi tessellations are important types of coverages. TINs play a very important role also in Computer graphics. Important here is: - Basics from Graph theory - Definition of Triangulated Irregular Networks (TIN) - purpose and applications - TINs and voronoi diagrams as a type of coverages - One important instance of a TIN: Delauney Triangulation - Definition of Voronoi Diagrams - purpose and applications - Relation between Delauney Triangulation and Voronoi Diagram - the 'Dual Graph' - Examples from applications,NONE
215,DM3-4,The hexagonal model,While the classical grid structure uses rectangular cells - the hexagonal data model uses hexagons to represent raster data,NONE
216,DM3-4b,Other models like linear referencing,Linear referencing is 1 dimensional positioning. The position of an object is defined by the distance from the object to the start point along a line. Linear referencing is for example used in railway dispatching systems,NONE
217,DM3-5b,Resolution and georeferencing system,Resolution of raster and gridded data - Georeferencing of data - direct and indirect methods (t.b.d.),NONE
218,DM3-7,Hierarchical data models,In hierarchical  data models data is organized in a tree-like structure. Data are connected with parent-child relations. Hierarchical structures are often used for spatial indexing.,NONE
219,DM3,Tessellation data models,This unit includes relevant tessellation data models. Besides features (sometimes also called geo-objects) geo-fields play and important role. In recent literature tessellation models are classified as discretizations of fields. In traditional GI literature tessellations are defined as important data structure itself. Tessellation discretise a continuous surface into a set of non-overlapping polygons that cover the surface without gaps. Tessellation data models represent continuous surfaces with sets of data values that correspond to partitions. Important tessellation models are Grids - TINs and Voronoi diagrams.,NONE
220,DM4-1,Feature based modelling,This topic includes the basics for feature based modelling. There are a number of standards also relevant for this topic (see relations). The following items should be included: - Definition of a feature (in some literature also called object - or geoobject) and of feature classes respectively. - Aspects of the definition (ID - geometry - topology - thematic - time etc.) - Techniques for the definition of features / feature classes (mainly link - as they are described elsewhere - see relations),NONE
221,DM4-2,Geometric modelling,This topic describes the process of Geometric modelling using vector data - means the primitives like points - lines - areas - bodies - or raster data. There is a strong relation to ISO standards (see relations) as they provide basic data types for geometric modelling. Main issues: - Geometric modeling based on vector data - Geometric modeling based on raster data - Conversion between the models - examples - advantages - disadvantages of the models,NONE
222,DM4-3,Topological modelling,In topological modelling the geospatial relations in a data model are represented by the position of geospatial objects - especially nodes - edges and surfaces.,NONE
223,DM4-4,Application models based on vector data,This topics deals with the definition of an application schema. There are other units which are important for this topic (see Relations). Issues to be included: - Methods to define and describe an application schema (requirement analysis - description of the schema etc.) - Feature attribute catalogues - Domains / data relevant for INSPIRE,NONE
224,DM4-5,Examples of important application models,This Topic deals with important application models - which should be chosen with relation to the course (geographically / related to the background of the course) INSPIRE should be treated in any case. In detail: - Overview on important application models relevant for the course - e.g. from topography or environment in the country - Repetition of the principles of Spatial data infrastructures - Overview on the INSPIRE initiative and the goals related - The INSPIRE data model - The architecture of INSPIRE and the necessary services - Domains / data relevant for INSPIRE,NONE
225,DM4-6,Model based interoperability - model transformations,This topic is dedicated to the challenges of model based interoperability and related issues - The principles of interoperability are included in DA3-2. In detail: - The challenges of model interoparability (semantics - different modelling of the same features in different models - syntacs) - Overview on IT concepts for schema integration / transformation - Approaches for model integration - Approaches for model transformations - e.g. related to INSPIRE - from the Humboldt project,NONE
226,DM4-7,Network models,Network models are crucial in some application domains - such as Navigation (roads etc.) - but also in utility applications (facilities like pipes etc.) In this topic should be treated: - The network model in the database domain - Graph based NoSQL databases - Topology of network models - Data structures for storing network data - The Dijkstra algorithm - Overview on important applications,NONE
227,DM4,Vector data model - Feature based modelling - Applications,This unit includes relevant issues related to vector data models - feature based modelling - applications. Besides imagery data the majority of GI data available is feature based and founded on vector geometry. Topology modeling also is very common nowadays - as many analysis like routing or neighborhood analysis require it. Spaghetti modelling becomes more and more and exception. In every country there are important feature and vector geometry based application models available e.g. in Topography / Cartography. In Europe every GI course should include some information on INSPIRE. As in different application domains different data models are used - sometimes for the same feature types - integration and transformation of models are an important issue also.,NONE
228,DM5-1,Basics of uncertainty and its modelling,- Many geographical phenomena are not defined sharply but uncertain Uncertainty has a number of considerations: - Motivation - background - purpose - Conceptual model of uncertainty - Uncertainty of geographic phenomena (vagueness - ambiguity) - Uncertainty of measurements - Uncertainty of analysis - Uncertainty vs. data quality - Statistical models of uncertainty - Outline of Fuzzy approaches,NONE
229,DM5-2,Modelling time aspects,Space and time are 2 connected concepts - this topic is dedicated to some basics of modelling time and the temporal dimensions related to features and fields: - Motivation - background - purpose - Changes in time in Entity based and field based representations - A conceptual model of changes in time - Move of objects - Change of structure - Change of geometry - Examples from applications,NONE
230,DM5-3,Modelling 3D,Traditionally many GIS used 2D or 2.5 D data models - but in the last decade 3D modeling mainly in form of city models or in the context of Building Information Models (BIM): - Basic concepts of 3D modelling - edge - area - volume models - The workflow of 3D modelling - general aspects - choose of the proper model - Methods of 3D modeling - Principles of Constructive Solid Geometry (CSG) - Principles of Boundary representation (BR) - Principles of Voxel-beased modeling - Comparison of the methods - The concept of BIM - principles and purpose - City models - principles and purpose - Examples / applications,NONE
231,DM5,Modelling 3D - temporal and uncertain phenomena,Traditional raster and vector data models cannot easily represent the more complex aspects of geographic information - such as temporal change - uncertainty - three-dimensional phenomena - and integrated multimedia. A variety of models have been proposed to represent these complexities - including both extensions to existing models and software - and entirely new models and software. During the 1990s - work in this area was largely experimental - but many solutions are now available to practitioners in commercial and open source software. The data models in this unit are based on concepts discussed in Knowledge Area CF Conceptual Foundations.,NONE
232,DN3-1,Database change,Modification of spatial and attribute data while ensuring consistency within the database - implications of transactions on database integrity - scenarios for periodic changes in GIS database and monitoring the periodic changes.,NONE
233,DN3-2,Modeling database change,Rules for modelling spatial database change - techniques for handling version control - techniques for managing long and short transactions - management of spatial databases in multi-user environment,NONE
234,DN3-3,Reconciling database change,Reliability tests of change information - design and implementation. Logical consistency of updates.,NONE
235,DN3-4,Managing versioned geospatial databases,Needs for versioned databases - queries for change scenarios using DB management tools - algorithms for performing dynamic queries - role of time-criticality and data security while choosing methods for change detection.,NONE
236,GC,Geocomputation,The term geocomputation dates back to the first international conference on the topic in 1996 held at the University of Leeds under the title “The art and science of solving complex spatial problems with computers’. The term “geocomputation” was coined to describe the use of computer-intensive methods for knowledge discovery in physical and human geography. This new area distinguishes it  from the application of statistical techniques to spatial data in the focus on “creative and experimental applications” and in “developing relevant geo-tools within the overall context of a ‘scientific’ approach.” Other authors reinforced the unique character of geocomputation as “to provide better solutions to many geographical problems by developing new - computationally dependent tools for analysis and modelling”.  Simply defined - the interdisciplinary area of ​​geocomputation was - from the beginning - closely linked to the application of computer technology and the development of tools and applications to real-world spatio-temporal problems through the combination of geographic information system techniques - spatial modelling - cellular automata - and other non-conventional data clustering and analysis techniques.\rEven though geocomputation is still seeking to define the field conceptually) - it is closely related to computational science - the use of high-computing performance - artificial intelligence - computational intelligence - grid infrastructure and parallel computing . Nevertheless - the evolution of new computing paradigms - such as edge-fog-cloud computing  along with the new forms of data create new opportunities for the geocomputation community .  \r\rWhile the underlying idea remains intact --a diverse and interdisciplinary area of research that uses geospatial data - methods and tools for applied scientific work-- - the current approach to geocomputation differs from the founders in that it focuses more attention on open science - reproducible research practices - and in a vibrant collaborative community to develop new methods - tools and applications that are integrated into multiple application domains such as economics - sociology - geodemography - health - criminology - transportation - biology - remote sensing and cities . The theoretical roots and experimental emphasis of geocomputation makes it an excellent vehicle to creatively explore in parallel the theory and practice of the use of geospatial data in a computational way to solve real-world problems.,REMOTE SENSING
237,GC1-1,Complex systems,A complex system can be viewed as a system composed of many interacting parts - with the ability to generate a new collective behaviour through self-organisation - for example - though the spontaneous formation of temporal - spatial or functional structures. Complex systems are therefore adaptive as they evolve and may contain self-driving feedback loops. Most real-world systems such as global climate - an ecosystem - a city - the human brain - and the entire universe - are complex systems. Therefore - complex systems are much more than a sum of their parts.The general characteristics of the structure and dynamics of complex systems have been characterised - including path dependence - positive feedback loops - self-organisation - and emergence. Complex system types include nonlinear systems - chaotic systems - and complex adaptive systems. \rTraditional approaches focus on the individual system components and define a system as the sum of its parts. Whereas the modern approach relies on complexity theory and complex adaptive systems - to emphasise the linkages between system components in order to understand complex systems as a whole.  Agent-based models - for example -  have been highly recommended for studying complex adaptive spatial systems because they support the explicit representation of situation-dependent information for decision making within dynamic spatial environments.,NONE
238,GC1-2,Computational science and technology,Computational science is a discipline focused on the design - implementation and use of mathematical models or simulations through the use of computers to analyse scientific problems - systems or processes. Computational science heavily relies on computational technologies such as high performance computing - artificial intelligence - computational intelligence - grid infrastructure and parallel computing. Geocomputation is closely related to computational science and - therefore - geocomputational methods are often derived from machine learning - clustering - simulation - parallel computing and high performance computing. Contrary to the methods and tools applied for spatial analysis described under the Analytical Methods Knowledge Area - geocomputation methods may involve spatial methods available in standard GIS packages - but quite often require self-development -  or at least customisation - involving computational technologies to solve target problems. The aim of this topic is to provide an introduction to computational science with particular emphasis on its  usage and relation to geocomputation.,NONE
239,GC1-3,Spatio-temporal problems and applications,While geocomputation is not daily used in GIS environments and traditional GIS projects -  it is the focus of   a vibrant collaborative and research community in developing new geocomputational methods - tools and applications that are integrated into multiple application domains such as economics - sociology - geodemography - health - criminology - transportation - biology - remote sensing and cities. Open science - reproducible research practices - and strong collaboration make geocomputing an excellent vehicle for creatively exploring together the theory and practice of using geospatial data in a computational way to solve real-world problems.,REMOTE SENSING
240,GC1-4,Origin of geocomputation,The origin of geocomputation dates back to the first international conference on the topic in 1996  and was coined to describe the use of computer-intensive methods for knowledge discovery in physical and human geography. Geocomputation is closely related to other widely known areas of knowledge within the geospatial community - such as GIScience - Spatial Information Science - GeoInformatics - and Geographic Data Science. While these terms clearly overlap and boundaries are fuzzy - the term geocomputation puts the focus on creative and experimental applications and in developing relevant computationally geospatial tools for analysis and modelling within the overall context of a ‘scientific’ approach. Therefore -  a common interpretation of geocomputation is to describe the application of computational models to geographic problems.,NONE
241,GC1,Geocomputation and complex systems,Geocomputation represents an attempt to move the geospatial  research agenda back to geographical analysis and modelling by providing a toolbox of methods to analyse and model a range of highly complex - often non-deterministic problems. In this context -  complex systems and computational science are foundational aspects upon which geocomputation approaches and methods are built to address a variety of real-world - spatio-temporal issues,NONE
242,GC2-1,Principles of computer simulation,Building a model that mimics a real-world system generally follows a series of stages: from conceptual models to mathematical models and - finally - simulation models. In model development - system analysis is a process whereby a real-world system is simplified by dividing it into simpler - more manageable parts. A conceptual model captures the components - variables and interactions of a system - and provides a useful way of thinking about the trade-offs between abstraction and representativeness of real-world phenomena. Taken in isolation - however - the interacting parts of a system fail to explain its dynamics behavior. A conceptual model is then translated into a mathematical model to explain system dynamics and interaction. Mathematical models often take the form of equations -  logical rules or other mathematical mechanisms to represent the interrelations and relationships among the constituted parts of a system. Lastly - a simulation model is the computer-based implementation of mathematical models consisting of interrelated equations and logical rules. When a simulation model runs on a computer - it iteratively recalculates the modelled system state as it changes over time in accordance with the relationships represented by the mathematical relationships that describe the system dynamic. Therefore - developing detailed and dynamic simulation models comes at the cost of generality and interpretability - but it brings us realism and the ability to represent real-world processes in specific contexts. Simulation modelling is often used for prediction - exploration - theory development - or even optimization of conditions to achieve desired outcomes - with the goal of examining how the interconnections and relationships that characterise complex social and environmental systems (e.g. ecosystems - urban systems - social systems - global climate system) produces patterns of behavior over time. Therefore - simulation models are increasingly gaining relevance as scientific mechanisms for several reasons. First - simulation models allow researchers to study systems inaccessible to experimental and observational scientific methods - complementing more conventional approaches to discover or formalize theories about real world systems. Also - aS many real-world systems are nonlinear - simulation modelling has turned into a necessary method to explore and understand better such systems. In addition - the availability of computational science methods and technology - together with a large amount of data available from different sources - have greatly driven the adoption of simulation models in a wide range of scientific disciplines.,NONE
243,GC2-3,Rule-based models,Rule-based models are based on logic programming with condition-action expressions - where the left side of the expressions consists of several conditions that returns a logical result - and the right side consists of several actions. Rules in rule-based models indirectly specify a mathematical model. However - unlike equation-based models which refer to the overall or aggregate behaviour of a system - rule-based models focus on the behaviour of the individual components of a system. That’s why the implementation of rule-based models is most often done by cellular automata models or agent-based models - in which the aggregate behaviour of the system emerges from the interaction of the individual agents or cells over time. Many geographic patterns and dynamics are formed by systems of interacting actors/cells with heterogeneous characteristics and behaviours - in which such dynamic behaviours can be implemented as rules. The aim of this topic is to provide knowledge about rule based models and to understand their advantages and disadvantages.,NONE
